pid,age,current_working,marital,logfaminc,loginc,n_loginc,ownhome,num_marriage,married,birthyear,white,edu,fambus_ever,male,fid,mid,n_child,n_obs
5003,44,1,1,10.625563,10.578217,,,Actual number of marriages,1,1962,1,12,1,1,5001,5002,5,20
5003,46,1,1,10.773315,10.477851,,,Actual number of marriages,1,1962,1,12,1,1,5001,5002,5,20
5003,48,1,1,11.437448,10.468801,,,Actual number of marriages,1,1962,1,12,1,1,5001,5002,5,20
5003,50,1,1,11.306991,10.435721,,,Actual number of marriages,1,1962,1,12,1,1,5001,5002,5,20
5003,52,1,1,11.410413,10.412029,,,Actual number of marriages,1,1962,1,12,1,1,5001,5002,5,20
5003,54,1,1,11.418614,10.373491,,,Actual number of marriages,1,1962,1,12,1,1,5001,5002,5,20
6032,26,1,0,10.641334,10.637056,,,Actual number of marriages,1,1980,1,17,1,1,6006,6172,3,6
6032,28,1,0,11.262751,11.260611,,,Actual number of marriages,1,1980,1,17,1,1,6006,6172,3,6
6032,30,1,1,12.042547,11.502875,,0,Actual number of marriages,1,1980,1,17,1,1,6006,6172,3,6
6032,32,1,1,11.891559,11.610506,,0,Actual number of marriages,1,1980,1,17,1,1,6006,6172,3,6
6032,34,1,1,11.81927,11.662638,,,Actual number of marriages,1,1980,1,17,1,1,6006,6172,3,6
6032,36,1,1,11.891362,11.652687,,0,Actual number of marriages,1,1980,1,17,1,1,6006,6172,3,6
7003,25,1,1,10.925785,9.9641218,,0,Actual number of marriages,0,1954,1,12,1,1,7001,7002,3,13
7003,26,0,1,9.5416031,9.0340462,,0,Actual number of marriages,0,1954,1,12,1,1,7001,7002,3,13
7003,27,0,1,10.193542,9.7800446,,0,Actual number of marriages,0,1954,1,12,1,1,7001,7002,3,13
7003,34,1,1,10.38838,9.2252293,,0,Actual number of marriages,0,1954,1,12,1,1,7001,7002,3,13
7003,35,1,1,10.718897,9.0776272,,0,Actual number of marriages,0,1954,1,12,1,1,7001,7002,3,13
7003,36,1,1,10.674521,9.8201056,,0,Actual number of marriages,0,1954,1,12,1,1,7001,7002,3,13
7003,37,1,1,10.579895,8.8593636,,0,Actual number of marriages,0,1954,1,12,1,1,7001,7002,3,13
7003,38,1,1,10.856484,8.0320349,,0,Actual number of marriages,0,1954,1,12,1,1,7001,7002,3,13
7003,39,1,1,11.451871,7.057898,,0,Actual number of marriages,0,1954,1,12,1,1,7001,7002,3,13
7003,40,0,1,10.904708,7.9779682,,0,Actual number of marriages,0,1954,1,12,1,1,7001,7002,3,13
7003,42,0,1,11.396909,10.59112,,0,Actual number of marriages,0,1954,1,12,1,1,7001,7002,3,13
7003,44,0,1,10.672651,4.4796071,,0,Actual number of marriages,0,1954,1,12,1,1,7001,7002,3,13
7003,54,0,1,10.730554,5.4026775,,0,Actual number of marriages,0,1954,1,12,1,1,7001,7002,3,13
7031,27,1,1,11.365933,10.4201,,0,Actual number of marriages,1,1973,1,12,1,1,7003,7170,3,9
7031,29,1,1,10.810613,10.707788,,0,Actual number of marriages,1,1973,1,12,1,1,7003,7170,3,9
7031,31,1,1,10.365648,10.365648,,0,Actual number of marriages,1,1973,1,12,1,1,7003,7170,3,9
7031,33,1,1,10.950156,10.911827,,0,Actual number of marriages,1,1973,1,12,1,1,7003,7170,3,9
7031,35,0,1,11.613799,11.463889,,0,Actual number of marriages,1,1973,1,12,1,1,7003,7170,3,9
7031,37,1,1,9.833333,9.7662354,,0,Actual number of marriages,1,1973,1,12,1,1,7003,7170,3,9
7031,39,1,1,8.7483053,8.7483053,,0,Actual number of marriages,1,1973,1,12,1,1,7003,7170,3,9
7031,41,1,1,11.251251,11.06469,,0,Actual number of marriages,1,1973,1,12,1,1,7003,7170,3,9
7031,43,1,1,11.112448,11.082143,,,Actual number of marriages,1,1973,1,12,1,1,7003,7170,3,9
11003,26,1,1,11.139298,10.607289,,0,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,27,1,1,10.845544,10.24477,,0,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,28,1,1,11.194304,10.854432,,0,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,29,1,1,11.390079,10.969577,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,30,1,1,11.180413,11.038914,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,31,1,1,10.986055,10.831904,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,32,1,1,11.012021,10.808393,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,33,1,1,11.130757,11.005593,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
11003,34,1,1,11.395425,11.188165,,,Actual number of marriages,0,1952,1,14,1,1,11001,11002,2,20
